FILE_DATE active resolved deaths new act.p res.p death.p new.p beta Date roll_mean roll_geo DailyMean
2020-09-13 1848 39841 2815 204 0.000126835964310227 0.00273445435827042 0.000193205216197666 1.40013726835964e-05 0.116987463700706 2020-09-13 0.1353926554045 0.124972288230444 21
2020-09-14 2027 39974 2816 313 0.000139121482498284 0.00274358270418669 0.000193273850377488 2.14824982841455e-05 0.167752531505131 2020-09-14 0.137368613491006 0.128330690513162 13.7
2020-09-15 2157 40091 2820 251 0.000148043925875086 0.00275161290322581 0.000193548387096774 1.72271791352093e-05 0.123731118673961 2020-09-15 0.141134829849075 0.127546076936346 14
2020-09-16 2316 40245 2822 315 0.000158956760466712 0.00276218256691833 0.000193685655456417 2.16197666437886e-05 0.146219605788739 2020-09-16 0.142811041713803 0.134322965624552 18.7
2020-09-17 2427 40424 2825 293 0.000166575154426905 0.00277446808510638 0.000193891557995882 2.01098146877145e-05 0.128680716961587 2020-09-17 0.144285885987327 0.136522881241622 14.9
2020-09-18 2652 40600 2825 401 0.000182017844886754 0.00278654770075498 0.000193891557995882 2.7522306108442e-05 0.163972039010329 2020-09-18 0.140028123942408 0.139984634589513 11.9
2020-09-19 2881 40777 2826 407 0.000197735072065889 0.00279869595058339 0.000193960192175704 2.79341111873713e-05 0.152333816356165 2020-09-19 0.142843659076725 0.141596729074934 10.4
2020-09-20 3054 40968 2827 365 0.000209608785175017 0.00281180507892931 0.000194028826355525 2.50514756348662e-05 0.127311373615379 2020-09-20 0.135703658461961 0.14331777624299 13
2020-09-21 3299 41146 2829 425 0.000226424159231297 0.00282402196293754 0.000194166094715168 2.91695264241592e-05 0.137948197190697 2020-09-21 0.133711995012393 0.139368270417773 14
2020-09-22 3578 41342 2832 478 0.00024557309540151 0.00283747426218257 0.000194371997254633 3.28071379547014e-05 0.14343986461418 2020-09-22 0.126123109585354 0.142342320939061 15.1
2020-09-23 3652 41600 2835 335 0.000250652024708305 0.00285518188057653 0.000194577899794097 2.29924502402196e-05 0.0962396014853898 2020-09-23 0.120830574942831 0.134086108521269 19.8
2020-09-24 3774 41886 2836 409 0.000259025394646534 0.00287481125600549 0.000194646533973919 2.80713795470144e-05 0.114739072814613 2020-09-24 0.120427054261102 0.131907410871062 19.2
2020-09-25 3899 42169 2837 409 0.000267604667124228 0.00289423472889499 0.000194715168153741 2.80713795470144e-05 0.110849841021057 2020-09-25 0.124513520705394 0.124732182440827 19.5
2020-09-26 3996 42507 2837 435 0.000274262182566918 0.00291743308167467 0.000194715168153741 2.98558682223747e-05 0.115286073858502 2020-09-26 0.121583087683733 0.119864347367798 19.4
2020-09-27 4196 42796 2839 491 0.000287989018531229 0.0029372683596431 0.000194852436513384 3.36993822923816e-05 0.124486728843272 2020-09-27 0.12710298603145 0.119480767539809 22
2020-09-28 4564 43127 2840 700 0.000313246396705559 0.00295998627316404 0.000194921070693205 4.80439258750858e-05 0.16655346230074 2020-09-28 0.127067182852641 0.122740841006029 20.7
2020-09-29 4791 43450 2844 554 0.000328826355525051 0.0029821551132464 0.000195195607412491 3.80233356211393e-05 0.122926833462558 2020-09-29 0.132900343533322 0.120064427900436 15.9
2020-09-30 4955 43907 2848 625 0.000340082361015786 0.00301352093342485 0.000195470144131778 4.28963623884695e-05 0.134878889919406 2020-09-30 0.134923593202941 0.125995724527558 15
2020-10-01 4975 44422 2851 538 0.000341455044612217 0.00304886753603294 0.000195676046671242 3.69251887439945e-05 0.11448845056295 2020-10-01 0.132948334363951 0.125956371969234 13.7
2020-10-02 5203 44850 2927 732 0.000357103637611531 0.00307824296499657 0.00020089224433768 5.02402196293754e-05 0.151681965785825 2020-10-02 0.126187080952251 0.131727704782643 10.8
2020-10-03 5380 45285 2968 653 0.000369251887439945 0.00310809883321894 0.000203706245710364 4.48181194234729e-05 0.129448821545837 2020-10-03 0.123715530847057 0.13392630133913 8.9
2020-10-04 5405 45819 2975 566 0.000370967741935484 0.00314474948524365 0.000204186684969115 3.88469457789979e-05 0.110659916970343 2020-10-04 0.12095594567254 0.131692548283082 9.8
2020-10-05 5474 46360 2980 615 0.000375703500343171 0.00318188057652711 0.000204529855868222 4.22100205902539e-05 0.119224688418838 2020-10-05 0.127231825301797 0.125550987936549 11.7
2020-10-06 5469 46906 2987 548 0.000375360329444063 0.00321935483870968 0.000205010295126973 3.761153054221e-05 0.105625982726198 2020-10-06 0.13152903231054 0.122859653746136 12.9
